id_str,screen_name
2828271468,Synthiab22
33792223,ChadPaalman
1.01735E+18,EyeHartMichigan
3133599926,MyLiberalPony
1.01731E+18,nonameslefrmaga
7.97095E+17,NORTHDAKOTA88
9.52739E+17,firetimryan
8.73283E+17,covertoncouncil
7.86736E+17,Truaxsales
7.25027E+17,AndrewHohentha2
1.0136E+18,Seanchaidh2
2339034354,RIHouseGOP
1106833081,KNelson5150
2530507632,SeanFoley11
62543872,PaveConcrete
503206916,hwater44
3028423559,SignFabMichigan
1093949743,KatMurti
39055546,kendra48640
745250892,KatherineCronk
8.22637E+17,lan_do_pedia
3947323995,jcarr1976
1.01056E+18,MIRoadTrips
1.00623E+18,Irishredhead201
2753918492,MagnanimousRed
1216957579,KDScioscia
234219111,fritzontaga
7.74297E+17,coryboddy2
9.53603E+17,piotrshaw
2527967047,kaysey6594
2894114705,steelfeather_22
8.21057E+17,swtmissy1965
2690204155,khaitan_vikas
72162739,TBerriman
9.54447E+17,JamesWinAgain
9.57307E+17,kopkbak
41364105,Jared808
3222712867,daniellesollit1
27045290,saved12797
19921268,SharNeal
113112965,jeremy_reinert
1.00261E+18,Mary_Moss313
19732292,pamdailey
1.01667E+18,AverageUs
7.23188E+17,bulldoggop
2583264475,john_raymondLC
1.01659E+18,ajharuddin78692
9.7754E+17,jackiebigush
194343140,irishshopgirl1
389840841,Shottie_18
1.01564E+18,AnsoJackso
1383601662,amandajoy1st
550283412,michelleleegray
7.79005E+17,Jimmy0270
911348377,bigclam12
332852165,jonesca100
8.80265E+17,ucheat2beatme
9.18204E+17,ElainaSliger
1.012E+18,ginojones12
1.01433E+18,WikidWaller
242129421,Hymbaw
2358311520,TheWhaleSays
7.89327E+17,northwest787
276739230,jgenius1285
1.01644E+18,guineve59513195
7.19281E+17,nkerr1nn
7.07717E+17,AngrierPatriot
2608291357,skinapig
23413178,boydirvin
9.663E+17,FlywhizGlen
1.00909E+18,KitchensRodney
9.46512E+17,mary87496063
1.01641E+18,ShayGallagher
7.47165E+17,JessNardini
1.01416E+18,shawn14820734
9.91446E+17,DJVELASQUEZ3
326457795,donnawnts2no
136552894,imaadkhanTX
7.56184E+17,barb_galvin
9.56706E+17,dkroue45
326964327,TrinaMcCormick
256185990,norskbot
902141593,paigee1910
4873438714,VolHawk78
7.86954E+17,TizGin
210066338,BradMCorey
1.01635E+18,katie_force
535554692,Thomas_195813
2548011440,PoliticNutt
1.01461E+18,USSFSupplyMole
9.84217E+17,VincenzoDitran6
3568607601,dlux98
1.01633E+18,JoshDarnell14
395756738,NickRochy14
632102682,hokeisit
2293555622,BrendanMagolan
2374458858,Strick_09
9.72486E+17,Street_Saints14
3228318645,USUH1H
2271813558,myGianLuca
56432526,stevenmccarrick
1.01433E+18,NaturalLawMI
